id,date,open,high,low,close,adjusted_close,volume
159,2022-07-01,77.99,78.45,67.58,71.4,71.4000,61999286
160,2022-06-24,74.51,78.66,71.3788,77.68,77.6800,75356103
161,2022-06-17,76.03,78.13,70.47,72.9,72.9000,87764692
162,2022-06-10,87.96,89.32,78.25,79.3,79.3000,62927704
163,2022-06-03,84.705,88.61,81.85,86.53,86.5300,55627115
164,2022-05-27,80.44,85.42,77.2,85.21,85.2100,78250114
165,2022-05-20,78.59,83.77,76.1884,80.54,80.5400,80731736
166,2022-05-13,79.89,82.27,71.8312,78.83,78.8300,109882631
167,2022-05-06,87.55,92.85,80.9,81.68,81.6800,95788340
168,2022-04-29,85.325,94.51,82.12,87.93,87.9300,125066335
169,2022-04-22,102.05,104.86,85.98,86.03,86.0300,102752050
170,2022-04-14,109.75,112.74,102.06,102.31,102.3100,65807895
171,2022-04-08,117.06,122.918,110.1,111.21,111.2100,66996889
172,2022-04-01,114.0,122.81,112.36,116.67,116.6700,71265816
173,2022-03-25,117.22,119.35,112.09,113.76,113.7600,76562760
174,2022-03-18,96.045,119.38,94.63,118.77,118.7700,117461834
175,2022-03-11,99.57,100.73,92.25,96.57,96.5700,102316985
176,2022-03-04,110.31,113.535,98.62,99.91,99.9100,102830450
177,2022-02-25,102.15,111.1,94.5,110.94,110.9400,122683899
178,2022-02-18,113.62,116.63,103.03,103.65,103.6500,132862838
179,2022-02-11,126.58,129.42,114.73,115.29,115.2900,145360291
180,2022-02-04,164.44,176.2,121.4,126.08,126.0800,259015599
181,2022-01-28,156.11,165.33,152.08,163.52,163.5200,75455479
182,2022-01-21,176.96,179.88,163.3,163.54,163.5400,60119991
183,2022-01-14,185.75,192.85,175.4,178.42,178.4200,68222520
184,2022-01-07,191.41,196.0998,185.07,187.6,187.6000,67056930
185,2021-12-31,192.39,194.0,187.83,188.58,188.5800,40205528
186,2021-12-23,182.53,192.9561,181.67,192.01,192.0100,40725826
187,2021-12-17,187.5,195.24,181.99,186.2,186.2000,65730792
188,2021-12-10,183.41,197.69,179.2,188.51,188.5100,68968185
189,2021-12-03,188.92,190.35,179.15,183.93,183.9300,98155648
190,2021-11-26,193.62,193.9,184.275,187.79,187.7900,74400701
191,2021-11-19,212.22,215.97,193.0701,193.61,193.6100,101813823
192,2021-11-12,227.96,230.97,200.68,208.3,208.3000,149091064
193,2021-11-05,232.7,233.55,224.6,225.78,225.7800,71481097
194,2021-10-29,254.955,255.52,231.71,232.59,232.5900,83794022
195,2021-10-22,266.39,273.51,239.75,240.4,240.4000,106304631
196,2021-10-15,257.93,269.7209,253.78,268.35,268.3500,28207997
197,2021-10-08,261.8378,268.6933,251.59,260.06,260.0600,27581393
198,2021-10-01,274.78,276.78,256.89,264.65,264.6500,29685993
199,2021-09-24,271.55,279.95,265.68,278.11,278.1100,27023847
200,2021-09-17,286.72,287.19,275.92,276.34,276.3400,24833917
201,2021-09-10,290.41,296.7,283.33,284.32,284.3200,25815587
202,2021-09-03,279.61,292.65,279.08,289.13,289.1300,39046209
203,2021-08-27,275.75,279.8296,273.02,278.33,278.3300,20986081
204,2021-08-20,273.73,279.19,266.6033,272.96,272.9600,27382214
205,2021-08-13,280.22,281.1,272.5,274.91,274.9100,24473174
206,2021-08-06,276.885,282.3699,269.57,279.54,279.5400,38463269
207,2021-07-30,309.66,310.16,274.21,275.53,275.5300,49697743
208,2021-07-23,292.35,309.475,288.81,308.53,308.5300,24435278
209,2021-07-16,302.37,307.82,294.14,294.63,294.6300,26751655
210,2021-07-09,290.035,300.83,289.46,300.21,300.2100,23212661
211,2021-07-02,290.8502,295.18,285.76,290.24,290.2400,23451777
212,2021-06-25,283.2788,296.01,276.725,289.6,289.6000,32081064
213,2021-06-18,271.9,286.38,265.3099,283.38,283.3800,40003926
214,2021-06-11,262.48,271.8999,260.19,271.45,271.4500,23610092
215,2021-06-04,261.08,264.7799,256.15,263.04,263.0400,21704700
216,2021-05-28,254.13,263.15,252.43,260.02,260.0200,29156511
217,2021-05-21,245.15,255.21,235.11,250.69,250.6900,32077435
218,2021-05-14,252.0149,252.41,233.61,246.29,246.2900,40820924
219,2021-05-07,265.06,265.8,245.11,253.36,253.3600,54415341
220,2021-04-30,266.66,275.25,261.6,262.29,262.2900,27412415
221,2021-04-23,267.13,272.58,259.27,266.03,266.0300,28417878
222,2021-04-16,265.39,277.86,262.59,269.87,269.8700,36077144
223,2021-04-09,250.51,266.94,245.7,266.77,266.7700,34316803
224,2021-04-01,241.58,252.6492,232.6301,247.54,247.5400,28376438
225,2021-03-26,242.03,246.95,227.52,241.03,241.0300,34044986
226,2021-03-19,251.4182,254.78,237.13,241.28,241.2800,40662031
227,2021-03-12,239.0,254.92,225.65,250.35,250.3500,51763397
228,2021-03-05,268.895,277.5,223.09,239.05,239.0500,65594162
229,2021-02-26,281.42,285.0,251.42,259.85,259.8500,68914269
230,2021-02-19,306.4,309.14,285.03,286.92,286.9200,42506648
231,2021-02-12,276.88,302.1,274.6235,298.37,298.3700,61290602
232,2021-02-05,238.37,274.94,235.4,269.44,269.4400,60232997
233,2021-01-29,253.8,254.39,225.0,234.31,234.3100,46270780
234,2021-01-22,243.3,254.39,241.0,252.0,252.0000,31377060
235,2021-01-15,238.04,249.85,233.83,239.79,239.7900,31903942
236,2021-01-08,237.8,242.91,225.7021,242.46,242.4600,36283858
237,2020-12-31,243.5,243.5,229.68,234.2,234.2000,26288760
238,2020-12-24,232.62,244.25,232.2013,238.64,238.6400,23972068
239,2020-12-18,215.95,238.1,215.0,236.45,236.4500,46826351
240,2020-12-11,217.39,219.32,206.65,214.06,214.0600,29430665
241,2020-12-04,212.51,220.57,207.09,217.77,217.7700,44476829
242,2020-11-27,194.53,216.07,193.92,211.39,211.3900,45862959
243,2020-11-20,185.19,194.73,183.54,192.67,192.6700,45582104
244,2020-11-13,195.74,196.07,178.6,188.62,188.6200,54406714
245,2020-11-06,189.01,204.92,174.81,202.73,202.7300,85412538
246,2020-10-30,200.66,203.89,182.92,186.13,186.1300,40188737
247,2020-10-23,205.52,215.83,199.1,203.04,203.0400,47724630
248,2020-10-16,199.87,209.02,196.6323,204.45,204.4500,44634891
249,2020-10-09,193.55,197.37,190.88,197.27,197.2700,27839567
250,2020-10-02,190.9996,201.27,188.09,191.91,191.9100,36111678
251,2020-09-25,174.84,188.47,174.08,187.25,187.2500,44468261
252,2020-09-18,186.0,190.45,171.63,176.07,176.0700,48388568
253,2020-09-11,184.7,198.22,180.93,184.0,184.0000,32515344
254,2020-09-04,203.7,212.45,182.85,191.84,191.8400,52127134
255,2020-08-28,200.0,207.0,196.24,204.48,204.4800,27217665
256,2020-08-21,193.92,199.0999,191.51,196.79,196.7900,31291674
257,2020-08-14,198.7,199.85,186.52,191.46,191.4600,40817808
258,2020-08-07,198.25,204.23,195.22,198.63,198.6300,33653281
259,2020-07-31,173.92,198.6599,172.39,196.07,196.0700,56100059
260,2020-07-24,174.65,180.75,169.08,172.56,172.5600,29533908
261,2020-07-17,180.42,180.66,164.33,173.92,173.9200,41562854
262,2020-07-10,180.29,183.99,174.46,178.4,178.4000,35047178
263,2020-07-02,171.48,179.8,165.56,177.21,177.2100,25071534
264,2020-06-26,165.58,175.4,164.29,170.87,170.8700,39228841
265,2020-06-19,152.6404,171.12,152.22,164.36,164.3600,37155883
266,2020-06-12,154.28,160.89,151.89,155.26,155.2600,34721668
267,2020-06-05,154.9,159.4799,150.0,156.0,156.0000,34736180
268,2020-05-29,154.12,155.33,140.02,155.01,155.0100,40029079
269,2020-05-22,148.125,151.08,145.22,150.86,150.8600,35473948
270,2020-05-15,142.96,145.89,139.61,145.51,145.5100,48807650
271,2020-05-08,121.26,147.2,120.31,144.96,144.9600,79604822
272,2020-05-01,121.25,124.03,115.9029,120.61,120.6100,38945637
273,2020-04-24,110.9,120.47,107.41,120.18,120.1800,53590770
274,2020-04-17,104.85,112.12,102.34,111.85,111.8500,44600796
275,2020-04-09,97.8,108.7,96.26,105.84,105.8400,42571311
276,2020-04-03,95.5,99.4314,89.88,92.39,92.3900,43235650
277,2020-03-27,86.29,100.93,82.07,93.48,93.4800,59485380
278,2020-03-20,94.0,103.155,86.15,86.68,86.6800,77290376
279,2020-03-13,102.72,110.6,94.5,110.15,110.1500,74253350
280,2020-03-06,107.46,115.39,106.53,110.89,110.8900,49720164
281,2020-02-28,114.29,116.79,103.72,107.99,107.9900,66760267
282,2020-02-21,122.58,124.45,118.53,119.49,119.4900,23073589
283,2020-02-14,118.56,123.0,117.8,122.99,122.9900,27864507
284,2020-02-07,114.3,122.19,114.05,118.88,118.8800,31415266
285,2020-01-31,113.63,117.53,112.31,113.89,113.8900,45811416
286,2020-01-24,115.31,119.6,115.11,116.98,116.9800,29472863
287,2020-01-17,113.98,116.7,113.86,116.04,116.0400,36730941
288,2020-01-10,107.57,113.71,107.44,112.93,112.9300,34894522
289,2020-01-03,109.52,111.21,107.2,108.76,108.7600,22369547
290,2019-12-27,109.05,110.18,108.38,109.4,109.4000,13779658
291,2019-12-20,108.4,109.828,107.46,108.75,108.7500,39534519
292,2019-12-13,104.6,107.905,103.26,107.65,107.6500,30161570
293,2019-12-06,107.96,108.49,104.11,104.34,104.3400,36753594
294,2019-11-29,102.38,108.39,102.06,108.01,108.0100,33483455
295,2019-11-22,103.85,106.17,100.72,101.77,101.7700,32727713
296,2019-11-15,101.04,104.48,100.66,104.2,104.2000,28056280
297,2019-11-08,105.72,105.76,99.6,101.42,101.4200,36926601
298,2019-11-01,107.99,108.46,103.26,104.98,104.9800,29276988
299,2019-10-25,102.36,107.49,94.77,107.19,107.1900,71427603
300,2019-10-18,101.59,104.34,100.75,101.22,101.2200,23808141
301,2019-10-11,102.11,103.96,99.25,101.58,101.5800,25616157
302,2019-10-04,102.68,104.6409,98.61,102.79,102.7900,32148692
303,2019-09-27,104.73,106.1,101.1,102.2,102.2000,27335003
304,2019-09-20,106.13,108.01,103.73,104.64,104.6400,31972439
305,2019-09-13,110.62,110.77,101.31,107.0,107.0000,51368856
306,2019-09-06,107.92,111.67,106.46,110.05,110.0500,17754388
307,2019-08-30,107.11,110.97,105.35,109.05,109.0500,19752398
308,2019-08-23,108.0,110.29,105.51,106.04,106.0400,26819110
309,2019-08-16,104.01,106.7,102.21,106.16,106.1600,40384707
310,2019-08-09,103.76,108.14,102.41,104.82,104.8200,42700207
311,2019-08-02,113.5,114.28,105.83,107.09,107.0900,52275419
312,2019-07-26,118.99,121.33,113.23,115.49,115.4900,47076393
313,2019-07-19,120.77,121.48,118.6,118.63,118.6300,21712574
314,2019-07-12,116.34,121.0,115.1401,120.12,120.1200,25142152
315,2019-07-05,116.72,117.72,114.35,117.16,117.1600,16955715
316,2019-06-28,116.51,116.96,113.08,114.46,114.4600,25221653
317,2019-06-21,116.58,119.95,115.22,116.21,116.2100,32669923
318,2019-06-14,115.1,117.45,113.295,116.17,116.1700,23768528
319,2019-06-07,111.09,115.14,103.96,114.02,114.0200,35422177
320,2019-05-31,110.57,113.14,108.74,109.75,109.7500,23519642
321,2019-05-24,111.97,113.96,109.06,109.85,109.8500,22741266
322,2019-05-17,107.6,114.66,106.52,112.8,112.8000,26077205
